municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Torrecillas de la Tiesa,1179,19,18.49,589.50,10897.68,6.47,8.81,15.28
Puebla del Maestre,777,10,24.45,388.50,9500.50,8.56,6.66,15.22
Berzocana,528,45,18.53,264.00,4891.62,6.49,8.69,15.18
Villanueva de la Sierra,514,25,18.67,257.00,4798.76,6.54,8.64,15.17
Gata,1662,31,18.15,831.00,15080.48,6.35,8.81,15.17
Calzadilla,485,20,18.00,242.50,4364.12,6.30,8.73,15.03
Herguijuela,366,19,17.73,183.00,3244.06,6.20,8.81,15.02
Viandar de la Vera,266,22,17.64,133.00,2345.96,6.17,8.81,14.99
Valencia de las Torres,687,10,23.71,343.50,8142.99,8.30,6.66,14.96
Fuentes de León,2571,8,17.39,1285.50,22349.27,6.08,8.84,14.93
Roca de la Sierra. La,1526,18,34.59,763.00,26388.51,12.10,2.80,14.90
Navas del Madro¤o,1444,44,14.25,722.00,10287.15,4.99,9.90,14.89
Casas del Castañar,639,29,27.26,319.50,8710.20,9.54,5.31,14.85
Orellana la Vieja,3015,3,25.73,1507.50,38792.47,9.01,5.83,14.84
Casillas de Coria,470,20,17.45,235.00,4100.36,6.11,8.73,14.84
Aliseda,1982,46,32.41,991.00,32120.89,11.34,3.49,14.83
Valdemorales,230,41,17.21,115.00,1979.61,6.02,8.80,14.82
Caminomorisco,1258,21,15.53,629.00,9771.42,5.44,9.38,14.82
Tejeda de Tiétar,887,22,17.04,443.50,7556.07,5.96,8.81,14.78
Salvatierra de Santiago,302,41,16.92,151.00,2555.41,5.92,8.80,14.72
Albuera. La,1986,4,22.47,993.00,22308.11,7.86,6.83,14.70
Táliga,801,13,23.14,400.50,9266.41,8.10,6.59,14.68
Zarza. La,3563,14,30.39,1781.50,54132.68,10.64,4.03,14.67
Villasbuenas de Gata,456,31,16.53,228.00,3769.32,5.79,8.81,14.60
Puerto de Santa Cruz,393,19,16.29,196.50,3201.66,5.70,8.81,14.51
Alconchel,1951,13,22.27,975.50,21728.27,7.80,6.59,14.38
Holguera,758,29,25.91,379.00,9821.73,9.07,5.31,14.38
Aldea del Obispo. La,350,19,15.87,175.00,2777.38,5.55,8.81,14.37
