v_op,F,EF1,p,Coste_regional_S0,Coste_S1,Coste_S2,CO2_S0_t,CO2_S1_t,CO2_S2_t,n_onsite_S1,n_onsite_S2,n_perdedores_S1,pct_mejorados_S2,rec_share_base,rec_share_onsite,EF5_NA,CAP_ANUAL_T,Coste_S2_cap,CO2_S2_cap_t,n_onsite_S2_cap,n_perdedores_S2_cap,Coste_S3,CO2_S3_t,n_onsite_S3,n_perdedores_S3
16,1250,60,0.5,10058521.01375,9917650.506874999,9279619.89124535,2517.087375,1341.2244375,1897.7026697634885,383,175,208,45.69190600522193,0.6,0.85,4.0,200000,9279619.89124535,1897.7026697634885,175,0,9021339.989433853,1809.5416432907882,312,0
16,1250,60,0.6,10058521.01375,9793726.4055,9078839.00854294,2517.087375,1106.05185,1755.8690581702183,383,192,191,50.130548302872064,0.6,0.85,4.0,200000,9078839.00854294,1755.8690581702183,192,0,8808314.009362577,1667.3350005306934,313,0
16,1250,60,0.7,10058521.01375,9669802.304125,8875358.303187886,2517.087375,870.8792625000001,1625.3649185950662,383,195,188,50.91383812010444,0.6,0.85,4.0,200000,8875358.303187886,1625.3649185950662,195,0,8595282.661784085,1525.709604785809,313,0
16,1250,120,0.1,10058521.01375,10413346.912375,9982322.523064855,3656.16225,3307.0821750000005,3545.644022242236,383,34,349,8.877284595300262,0.6,0.85,4.0,200000,9982322.523064855,3545.644022242236,34,0,9872790.865183102,3440.3014035193914,295,0
16,1250,120,0.2,10058521.01375,10289422.811,9839132.06025864,3656.16225,2958.0021,3353.384165037248,383,82,301,21.409921671018278,0.6,0.85,4.0,200000,9839132.06025864,3353.384165037248,82,0,9660202.93516253,3218.724205404615,305,0
16,1250,120,0.3,10058521.01375,10165498.709625,9665499.133332025,3656.16225,2608.922025,3130.973195385266,383,126,257,32.89817232375979,0.6,0.85,4.0,200000,9665499.133332025,3130.973195385266,126,0,9447323.683543704,2997.1556414091183,309,0
16,1250,120,0.4,10058521.01375,10041574.60825,9476171.08829268,3656.16225,2259.8419499999995,2908.443777031776,383,155,228,40.469973890339425,0.6,0.85,4.0,200000,9476171.08829268,2908.443777031776,155,0,9234360.32254952,2774.9307988489445,311,0
16,1250,120,0.5,10058521.01375,9917650.506874999,9279619.89124535,3656.16225,1910.761875,2683.535089526977,383,175,208,45.69190600522193,0.6,0.85,4.0,200000,9279619.89124535,2683.535089526977,175,0,9021339.989433853,2554.3408865815763,312,0
16,1250,120,0.6,10058521.01375,9793726.4055,9078839.00854294,3656.16225,1561.6818,2462.0129163404367,383,192,191,50.130548302872064,0.6,0.85,4.0,200000,9078839.00854294,2462.0129163404367,192,0,8808314.009362577,2333.0185410613867,313,0
16,1250,120,0.7,10058521.01375,9669802.304125,8875358.303187886,3656.16225,1212.601725,2257.5548671901324,383,195,188,50.91383812010444,0.6,0.85,4.0,200000,8875358.303187886,2257.5548671901324,195,0,8595282.661784085,2112.4945895716187,313,0
16,2500,30,0.1,10058521.01375,10892096.912375,10007897.81101178,1947.5499375,1769.33109375,1915.9365131360096,383,13,370,3.3942558746736293,0.6,0.85,4.0,200000,10007897.81101178,1915.9365131360096,13,0,9896729.866762817,1858.3222199630886,264,0
16,2500,30,0.2,10058521.01375,10768172.811,9906124.032379711,1947.5499375,1591.11225,1850.8514036211182,383,34,349,8.877284595300262,0.6,0.85,4.0,200000,9906124.032379711,1850.8514036211182,34,0,9687060.716616204,1748.6266342596957,295,0
16,2500,30,0.3,10058521.01375,10644248.709625,9771990.949965483,1947.5499375,1412.89340625,1765.6743694620413,383,59,324,15.404699738903394,0.6,0.85,4.0,200000,9771990.949965483,1765.6743694620413,59,0,9474559.226349246,1646.6575564629356,301,0
16,2500,30,0.4,10058521.01375,10520324.60825,9619743.10676728,1947.5499375,1234.6745625,1675.897345018624,383,82,301,21.409921671018278,0.6,0.85,4.0,200000,9619743.10676728,1675.897345018624,82,0,9261884.856575057,1543.0461952023077,305,0
16,2500,30,0.5,10058521.01375,10396400.506874999,9452053.792078128,1947.5499375,1056.45571875,1576.7930749924108,383,104,279,27.154046997389035,0.6,0.85,4.0,200000,9452053.792078128,1576.7930749924108,104,0,9049039.140301874,1440.0259616389067,308,0
16,2500,30,0.6,10058521.01375,10272476.4055,9272477.252914052,1947.5499375,878.236875,1472.9691851926332,383,126,257,32.89817232375979,0.6,0.85,4.0,200000,9272477.252914052,1472.9691851926332,126,0,8836126.353337413,1337.5816132045593,309,0
16,2500,30,0.7,10058521.01375,10148552.304125,9086293.893597554,1947.5499375,700.0180312500001,1369.7703231805049,383,142,241,37.0757180156658,0.6,0.85,4.0,200000,9086293.893597554,1369.7703231805049,142,0,8623211.639057389,1235.920225821986,309,0
16,2500,60,0.1,10058521.01375,10892096.912375,10007897.81101178,2517.087375,2281.9147875,2471.2288662720193,383,13,370,3.3942558746736293,0.6,0.85,4.0,200000,10007897.81101178,2471.2288662720193,13,0,9896729.866762817,2391.504759926177,264,0
16,2500,60,0.2,10058521.01375,10768172.811,9906124.032379711,2517.087375,2046.7422,2378.942867242236,383,34,349,8.877284595300262,0.6,0.85,4.0,200000,9906124.032379711,2378.942867242236,34,0,9687060.716616204,2240.564608519391,295,0
16,2500,60,0.3,10058521.01375,10644248.709625,9771990.949965483,2517.087375,1811.5696125,2259.7523289240826,383,59,324,15.404699738903394,0.6,0.85,4.0,200000,9771990.949965483,2259.7523289240826,59,0,9474559.226349246,2099.193462925871,301,0
16,2500,60,0.4,10058521.01375,10520324.60825,9619743.10676728,2517.087375,1576.397025,2134.1335900372483,383,82,301,21.409921671018278,0.6,0.85,4.0,200000,9619743.10676728,2134.1335900372483,82,0,9261884.856575057,1955.7928504046154,305,0
16,2500,60,0.5,10058521.01375,10396400.506874999,9452053.792078128,2517.087375,1341.2244375,1995.666599984822,383,104,279,27.154046997389035,0.6,0.85,4.0,200000,9452053.792078128,1995.666599984822,104,0,9049039.140301874,1813.0688232778132,308,0
16,2500,60,0.6,10058521.01375,10272476.4055,9272477.252914052,2517.087375,1106.05185,1850.5741703852661,383,126,257,32.89817232375979,0.6,0.85,4.0,200000,9272477.252914052,1850.5741703852661,126,0,8836126.353337413,1671.1040864091183,309,0
