municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Valverde de Mérida,14,1159,579.5,27.91,30.94,24.63,12.3151,3.0156,11.3146,1.5828,11.3146,1.5828,1,11.3146,1.5828,1,9.1850,1.5828,1,0.2500
Torre de Don Miguel,31,568,284.0,14.21,30.51,24.46,12.2287,2.5915,13.5158,1.3708,12.2287,2.5915,0,12.2287,2.5915,0,9.2835,1.3708,1,0.2500
Ahillones,10,1052,526.0,20.34,26.70,23.13,11.5628,2.6613,11.1578,1.4056,11.1578,1.4056,1,11.1578,1.4056,1,8.8505,1.4056,1,0.2500
Hernán-Pérez,31,518,259.0,14.15,30.51,24.44,12.2187,2.5897,13.9356,1.3699,12.2187,2.5897,0,12.2187,2.5897,0,9.2785,1.3699,1,0.2500
Solana de los Barros,14,2826,1413.0,27.64,30.94,24.53,12.2651,3.0075,10.0172,1.5788,10.0172,1.5788,1,10.0172,1.5788,1,9.1600,1.5788,1,0.2500
Cachorrilla,20,93,46.5,14.18,6.65,16.02,8.0085,1.8749,33.8860,1.0124,8.0085,1.8749,0,8.0085,1.8749,0,7.1114,1.0124,1,0.2500
Higuera de Llerena,10,353,176.5,19.99,26.70,23.01,11.5028,2.6508,15.8336,1.4004,11.5028,2.6508,0,11.5028,2.6508,0,8.8205,1.4004,1,0.2500
Jarilla,22,154,77.0,13.81,14.86,18.84,9.4197,2.1100,23.9436,1.1300,9.4197,2.1100,0,9.4197,2.1100,0,7.7596,1.1300,1,0.2500
Salvatierra de los Barros,9,1788,894.0,26.76,18.53,20.08,10.0386,2.6088,9.4175,1.3794,9.4175,1.3794,1,9.4175,1.3794,1,8.0490,1.3794,1,0.2500
Tamurejo,11,259,129.5,15.37,33.44,25.28,12.6421,2.7143,18.9736,1.4322,12.6421,2.7143,0,12.6421,2.7143,0,9.4384,1.4322,1,0.2500
Garganta la Olla,22,1062,531.0,13.37,14.86,18.69,9.3447,2.0968,10.0264,1.1234,9.3447,2.0968,0,9.3447,2.0968,0,7.7221,1.1234,1,0.2500
Garbayuela,11,547,273.5,15.11,33.44,25.19,12.5971,2.7065,13.8689,1.4283,12.5971,2.7065,0,12.5971,2.7065,0,9.4159,1.4283,1,0.2500
Guijo de Coria,25,231,115.5,13.85,8.52,16.47,8.2354,1.9210,17.9402,1.0355,8.2354,1.9210,0,8.2354,1.9210,0,7.3434,1.0355,1,0.2500
Pasarón de la Vera,22,677,338.5,13.18,14.86,18.62,9.3097,2.0911,11.3476,1.1205,9.3097,2.0911,0,9.3097,2.0911,0,7.7046,1.1205,1,0.2500
Lobón,4,2723,1361.5,18.80,21.80,21.04,10.5205,2.4681,9.1783,1.3090,9.1783,1.3090,1,9.1783,1.3090,1,8.3332,1.3090,1,0.2500
Casas de Miravete,27,145,72.5,14.21,9.83,16.82,8.4102,1.9712,24.4465,1.0606,8.4102,1.9712,0,8.4102,1.9712,0,7.2681,1.0606,1,0.2500
Tornavacas,22,1181,590.5,12.69,14.86,18.45,9.2247,2.0764,9.7292,1.1132,9.2247,2.0764,0,9.2247,2.0764,0,7.6621,1.1132,1,0.2500
Santa Amalia,3,4326,2163.0,21.17,15.82,18.78,9.3889,2.3598,8.2724,1.2549,8.2724,1.2549,1,8.2724,1.2549,1,7.7209,1.2549,1,0.2500
Valencia del Ventoso,5,2249,1124.5,17.51,32.00,24.42,12.2101,2.7353,10.2166,1.4427,10.2166,1.4427,1,10.2166,1.4427,1,9.1842,1.4427,1,0.2500
Serrejón,27,444,222.0,13.65,9.83,16.63,8.3152,1.9544,12.7883,1.0522,8.3152,1.9544,0,8.3152,1.9544,0,7.2206,1.0522,1,0.2500
Higuera,27,100,50.0,13.55,9.83,16.59,8.2952,1.9514,32.1476,1.0507,8.2952,1.9514,0,8.2952,1.9514,0,7.2106,1.0507,1,0.2500
Villa del Campo,25,555,277.5,12.90,8.52,16.14,8.0704,1.8925,11.5397,1.0212,8.0704,1.8925,0,8.0704,1.8925,0,7.2609,1.0212,1,0.2500
Zarza de Granadilla,22,1864,932.0,12.17,14.86,18.27,9.1347,2.0608,8.9086,1.1054,8.9086,1.1054,1,8.9086,1.1054,1,7.6171,1.1054,1,0.2500
Pescueza,20,157,78.5,12.31,6.65,15.37,7.6835,1.8188,22.7653,0.9844,7.6835,1.8188,0,7.6835,1.8188,0,6.9489,0.9844,1,0.2500
Villa del Rey,44,157,78.5,8.93,16.91,18.94,9.4695,2.0252,23.6583,1.0876,9.4695,2.0252,0,9.4695,2.0252,0,8.0333,1.0876,1,0.2500
Esparragosa de la Serena,6,1088,544.0,12.64,9.98,16.46,8.2311,1.9285,9.4133,1.0393,8.2311,1.9285,0,8.2311,1.9285,0,7.2329,1.0393,1,0.2500
Puebla de Sancho P‚rez,5,2899,1449.5,16.65,32.00,24.12,12.0601,2.7095,9.8924,1.4298,9.8924,1.4298,1,9.8924,1.4298,1,9.1092,1.4298,1,0.2500
Santibáñez el Alto,31,436,218.0,11.65,30.51,23.57,11.7837,2.5147,14.6258,1.3324,11.7837,2.5147,0,11.7837,2.5147,0,9.0610,1.3324,1,0.2500
Cañamero,45,1787,893.5,11.88,26.24,22.03,11.0161,2.3935,9.9071,1.2717,9.9071,1.2717,1,9.9071,1.2717,1,8.6584,1.2717,1,0.2500
Segura de León,8,2140,1070.0,11.36,12.07,17.04,8.5224,1.9529,8.4294,1.0515,8.4294,1.0515,1,8.4294,1.0515,1,7.4447,1.0515,1,0.2500
Riolobos,29,1257,628.5,21.35,9.76,16.20,8.0986,2.1834,9.0381,1.1667,8.0986,2.1834,0,8.0986,2.1834,0,7.0936,1.1667,1,0.2500
